Libellé du pays,Valeur moyen des exportations sur 10ans,alpha-3
PAKISTAN,2702077299.331727,PAK
POLOGNE,1606134997.0549943,POL
PORTO RICO,1360539.0266363637,PRI
TERRITOIRE PALESTINIEN OCCUPE,31588189.294545457,PSE
PORTUGAL,2973782050.1842365,PRT
PARAGUAY,36702083.64109091,PRY
QATAR,173054594.1257273,QAT
REUNION,59422960.18945455,REU
ROUMANIE,1098753432.4446363,ROU
SERBIE,78282164.05718182,SRB
FEDERATION DE RUSSIE,2079351142.4174547,RUS
RWANDA,13258750.564181818,RWA
ARABIE SAOUDITE,871542516.507091,SAU
SEYCHELLES,1266995.32,SYC
SOUDAN,179957538.72545454,SDN
SUEDE,693293588.9321901,SWE
SINGAPOUR,2568261445.6547275,SGP
"SAINTE-HELENE, ASCENSION ET TRISTAN DA CUNHA",143182.02172727275,SHN
SLOVENIE,183854894.51427272,SVN
SLOVAQUIE,417863487.8105454,SVK
SIERRA LEONE,89934445.70136364,SLE
SAINT-MARIN,26118.636363636364,SMR
SENEGAL,1663637079.5196364,SEN
SOMALIE,6634915.893636364,SOM
SURINAME,3233822.0763636366,SUR
SAO TOME-ET-PRINCIPE,1102121.4545454546,STP
EL SALVADOR,8477848.52009091,SLV
SAINT-MARTIN (PARTIE NEERLANDAISE),25.454545454545453,SXM
REPUBLIQUE ARABE SYRIENNE,425044970.74818176,SYR
SWAZILAND,2869472.7285454543,SWZ
TCHAD,43669728.39009091,TCD
TOGO,410587490.40854543,TGO
THAILANDE,301465226.1832727,THA
TADJIKISTAN,8858.636363636364,TJK
TURKMENISTAN,350710.99436363636,TKM
TUNISIE,952808785.1369091,TUN
TONGA,169968.9090909091,TON
TURQUIE,5056314863.152454,TUR
TRINITE-ET-TOBAGO,25929175.296363637,TTO
PROVINCE DE CHINE TAIWAN,272819476.05327266,TWN
REPUBLIQUE-UNIE DE TANZANIE,120278084.8289091,TZA
UKRAINE,288661278.36200005,UKR
OUGANDA,16762776.032545455,UGA
ETATS-UNIS,8600913005.473637,USA
URUGUAY,175582567.3910909,URY
OUZBEKISTAN,400470.2445454545,UZB
SAINT-SIEGE (ETAT DE LA CITE DU VATICAN),181.8181818181818,VAT
